AOP ID,Title,OECD Status,License,Handbook Version,Completion %,Raw Score,Max Score,Events,KERs,Stressors,Empty Free Text Fields,Empty Structured Fields
4,Ecdysone receptor agonism leading to mortality via suppression of Ftz-f1,,BY-SA,1.0,100.0,17,17,9,8,11,,
10,Binding to the picrotoxin site of ionotropic GABA receptors leading to epileptic seizures in adult brain,WPHA/WNT Endorsed,BY-SA,1.0,100.0,17,17,6,5,7,"development_strategy, known_modulating_factors",
17,Binding of electrophilic chemicals to SH(thiol)-group of proteins and /or to seleno-proteins involved in protection against oxidative stress during brain development leads to impairment of learning and memory,WPHA/WNT Endorsed,BY-SA,1.0,100.0,17,17,10,11,3,development_strategy,
21,"Aryl hydrocarbon receptor activation leading to early life stage mortality, via increased COX-2",WPHA/WNT Endorsed,BY-SA,1.0,100.0,17,17,5,5,1,"development_strategy, known_modulating_factors",
23,Androgen receptor agonism leading to reproductive dysfunction (in repeat-spawning fish),WPHA/WNT Endorsed,BY-SA,1.0,100.0,17,17,10,13,1,"development_strategy, known_modulating_factors",
37,PPARα activation leading to hepatocellular adenomas and carcinomas in rodents,Under Development,BY-SA,1.0,100.0,17,17,5,7,9,"development_strategy, known_modulating_factors",
39,"Covalent Binding, Protein, leading to Increase, Allergic Respiratory Hypersensitivity Response",Under Development,BY-SA,1.0,100.0,17,17,5,6,1,development_strategy,
106,Chemical binding to tubulin in oocytes leading to aneuploid offspring,Under Review,BY-SA,1.0,100.0,17,17,6,6,4,"development_strategy, known_modulating_factors",
107,Constitutive androstane receptor activation leading to hepatocellular adenomas and carcinomas in the mouse and the rat,Under Review,BY-SA,1.0,100.0,17,17,5,4,3,"development_strategy, known_modulating_factors",
131,Aryl hydrocarbon receptor activation leading to uroporphyria,WPHA/WNT Endorsed,BY-SA,1.0,100.0,17,17,6,5,4,"development_strategy, known_modulating_factors",
154,Inhibition of Calcineurin Activity Leading to Impaired T-Cell Dependent Antibody Response,WPHA/WNT Endorsed,BY-SA,1.0,100.0,17,17,5,4,9,"development_strategy, known_modulating_factors",
155,Deiodinase 2 inhibition leading to increased mortality via reduced posterior swim bladder inflation,WPHA/WNT Endorsed,BY-SA,1.0,100.0,17,17,6,7,1,"development_strategy, known_modulating_factors",
159,Thyroperoxidase inhibition leading to increased mortality via reduced anterior swim bladder inflation,WPHA/WNT Endorsed,BY-SA,1.0,100.0,17,17,8,9,3,development_strategy,
173,Substance interaction with the pulmonary resident cell membrane components leading to pulmonary fibrosis,WPHA/WNT Endorsed,All rights reserved,1.0,100.0,17,17,8,7,2,,
202, Inhibitor binding to topoisomerase II leading to infant leukaemia,WPHA/WNT Endorsed,BY-SA,1.0,100.0,17,17,4,3,4,"development_strategy, known_modulating_factors",
205,AOP from chemical insult to cell death,,BY-SA,1.0,100.0,17,17,6,5,1,"development_strategy, known_modulating_factors",
220,Cyp2E1 Activation Leading to Liver Cancer,WPHA/WNT Endorsed,BY-SA,1.0,100.0,17,17,5,7,1,"development_strategy, known_modulating_factors",
263,Uncoupling of oxidative phosphorylation leading to  growth inhibition via decreased cell proliferation,WPHA/WNT Endorsed,BY-SA,2.0,100.0,17,17,4,3,11,"development_strategy, known_modulating_factors",
272,Deposition of energy leading to lung cancer,WPHA/WNT Endorsed,BY-SA,2.0,100.0,17,17,7,14,1,development_strategy,
282,Adverse outcome pathway on photochemical toxicity initiated by light exposure,Under Review,BY-SA,2.0,100.0,17,17,4,4,3,"development_strategy, known_modulating_factors",
296,Oxidative DNA damage leading to chromosomal aberrations and mutations,WPHA/WNT Endorsed,BY-SA,2.0,100.0,17,17,5,9,8,development_strategy,
334,Glucocorticoid Receptor Agonism Leading to Impaired Fin Regeneration,,BY-SA,2.0,100.0,17,17,6,5,2,development_strategy,
342,Ecdysone receptor hyperactivation leading to mortality via mis-timed activation of nuclear receptor cascade,,BY-SA,2.0,100.0,17,17,8,7,8,,
346,Aromatase inhibition leads to male-biased sex ratio via impacts on gonad differentiation,WPHA/WNT Endorsed,BY-SA,2.0,100.0,17,17,5,6,5,,
376,Androgen receptor agonism leading to male-biased sex ratio,WPHA/WNT Endorsed,BY-SA,2.0,100.0,17,17,4,4,5,,
411,Oxidative stress Leading to Decreased Lung Function ,,BY-SA,2.0,100.0,17,17,4,3,5,"development_strategy, known_modulating_factors",
413,Oxidation and antagonism of reduced glutathione leading to mortality via acute renal failure,,BY-SA,2.0,100.0,17,17,6,5,3,development_strategy,
424,Oxidative stress Leading to Decreased Lung Function via CFTR dysfunction,,BY-SA,2.0,100.0,17,17,6,5,3,"development_strategy, known_modulating_factors",
425,Oxidative Stress Leading to Decreased Lung Function via Decreased FOXJ1,,BY-SA,2.0,100.0,17,17,6,5,1,"development_strategy, known_modulating_factors",
440,Hypothalamus estrogen receptors activity suppression leading to ovarian cancer via ovarian epithelial cell hyperplasia,Under Development,All rights reserved,2.0,100.0,17,17,9,8,3,,
443, DNA damage and mutations leading to Metastatic Breast Cancer,Under Development,BY-SA,2.0,100.0,17,17,10,10,1,,
455,Aryl hydrocarbon receptor activation leading to early life stage mortality via sox9 repression induced impeded craniofacial development,WPHA/WNT Endorsed,BY-SA,2.0,100.0,17,17,6,9,1,,
456,Aryl hydrocarbon receptor activation leading to early life stage mortality via sox9 repression induced cardiovascular toxicity,WPHA/WNT Endorsed,BY-SA,2.0,100.0,17,17,6,9,1,,
460,Antagonism of Smoothened receptor leading to orofacial clefting,Under Review,All rights reserved,2.0,100.0,17,17,9,10,5,,
470,Deposition of energy leads to abnormal vascular remodeling,WPHA/WNT Endorsed,BY-SA,2.5,100.0,19,19,8,16,1,,
475,Binding of chemicals to ionotropic glutamate receptors leads to impairment of learning and memory via loss of drebrin from dendritic spines of neurons,Under Development,All rights reserved,2.5,100.0,19,19,8,9,4,,
478,Deposition of energy leading to occurrence of cataracts,WPHA/WNT Endorsed,BY-SA,2.5,100.0,19,19,10,22,1,,
482,Deposition of energy leading to occurrence of bone loss,WPHA/WNT Endorsed,BY-SA,2.5,100.0,19,19,7,11,1,,
483,Deposition of Energy Leading to Learning and Memory Impairment,WPHA/WNT Endorsed,BY-SA,2.5,100.0,19,19,8,15,1,,
491,"Decrease, GLI1/2 target gene expression leads to orofacial clefting ",Under Development,All rights reserved,2.5,100.0,19,19,6,6,2,,
519,Cardiac ion channels blockade  leading to  increased incidence of cardiovascular morbidity and mortality ,,Open for adoption,2.6,100.0,19,19,4,3,5,,
550,Increased LMNA gene mutation leading to heart failure,,BY-SA,2.7,100.0,19,19,5,4,8,,
551,Increased Muscarinic M2 Receptor leading to Arrhythmia,,Open for adoption,2.7,100.0,19,19,5,4,3,,
552,Inhibiton of L-Type Calcium Channels leading to heart failure via QT interval prolongation and Torsades de Pointes (TdP),,All rights reserved,2.7,100.0,19,19,6,5,9,,
553,Inhibition of Voltage-gated sodium channels (Na⁺ channels)  leading to heart failure,,All rights reserved,2.7,100.0,19,19,4,3,9,,
554,β-adrenergic receptor agonists leading to arrhythmias.,,All rights reserved,2.7,100.0,19,19,4,3,6,,
558,Phosphodiesterase inhibition leading to heart failure,,All rights reserved,2.7,100.0,19,19,6,5,8,,
559,Inhibition of acetylcholinesterase (AChE) leading to arrhythmias,,All rights reserved,2.7,100.0,19,19,5,4,16,,
560,Inhibition of Funny current (If) leading to Arrhythmias,,Open for adoption,2.7,100.0,19,19,4,3,6,,
562,HCN Channel Inhibition leading to Arrhythmias,,All rights reserved,2.7,100.0,19,19,5,4,5,,
587,Inhibition of the mitochondrial complex III of nigro-striatal neurons leads to parkinsonian motor deficits ,,BY-SA,2.7,100.0,19,19,4,3,2,,
606,Ecdysone receptor antagonism leading to mortality via inhibition of chitin synthase 1,,BY-SA,2.7,100.0,19,19,6,5,3,,
615,Suppression of Keap1 cysteine oxidation leading to liver failure,,All rights reserved,2.7,100.0,19,19,5,4,6,,
167,Early-life estrogen receptor agonism leading to endometrial adenosquamous carcinoma via promotion of sine oculis homeobox 1 progenitor cells,,BY-SA,2.7,94.74,18,19,7,7,2,quantitative_considerations,
345,Androgen receptor (AR) antagonism leading to decreased fertility in females,Under Development,BY-SA,2.5,94.74,18,19,6,5,1,background,
442,Binding to voltage gate sodium channels during development leads to cognitive impairment,WPHA/WNT Endorsed,BY-SA,2.7,94.74,18,19,7,6,1,background,
499,Activation of MEK-ERK1/2 leads to deficits in learning and cognition via disrupted neurotransmitter release,,All rights reserved,2.6,94.74,18,19,4,3,5,quantitative_considerations,
500,Activation of MEK-ERK1/2 leads to deficits in learning and cognition via ROS and apoptosis,,All rights reserved,2.6,94.74,18,19,7,7,5,quantitative_considerations,
501,Excessive iron accumulation leading to neurological disorders,,Open for adoption,2.6,94.74,18,19,4,3,0,,stressors
534,Succinate dehydrogenase (SDH) inhibition leads to cancer through oxidative stress,,All rights reserved,2.6,94.74,18,19,6,5,3,quantitative_considerations,
555,"Inhibition, Ether-a-go-go (ERG) Voltage-Gated Potassium Channel leading to heart failure",,All rights reserved,2.7,94.74,18,19,5,4,12,potential_applications,
556,Decreased Na/K ATPase activity leading to heart failure,,All rights reserved,2.7,94.74,18,19,6,5,8,,taxonomy_applicability
563,Aryl hydrocarbon Receptor (AHR) activation causes Premature Ovarian Insufficiency via Bax mediated apoptosis,,All rights reserved,2.7,94.74,18,19,6,5,5,authors,
573,"Inhibition, cytochrome oxidase leads to Increased, pulmonary edema",,BY-SA,2.7,94.74,18,19,3,2,0,,stressors
574,"Inhibition, cytochrome oxidase leads to Loss of olfactory function",,BY-SA,2.7,94.74,18,19,3,2,0,,stressors
575,Decreased testosterone synthesis leading to increased nipple retention (NR) in male (rodent) offspring,,BY-SA,2.7,94.74,18,19,5,6,2,overall_assessment_description,
576,5α-reductase inhibition leading to increased nipple retention (NR) in male (rodent) offspring,,BY-SA,2.7,94.74,18,19,5,4,1,overall_assessment_description,
593,Redox cycling of a chemical by mitochondria leads to degeneration of nigrostriatal dopaminergic neurons ,,BY-SA,2.7,94.74,18,19,5,4,1,overall_assessment_description,
612,Peroxisome proliferator-activated receptor alpha activation leading to early life stage mortality via reduced adenosine triphosphate,,BY-SA,2.7,94.74,18,19,7,6,0,,stressors
613,Peroxisome proliferator-activated receptor alpha activation leading to early life stage mortality via increased reactive oxygen species production,,BY-SA,2.7,94.74,18,19,7,6,0,,stressors
614,Peroxisome proliferator-activated receptor alpha activation leading to early life stage mortality via reduced vascular endothelial growth factor,,BY-SA,2.7,94.74,18,19,5,4,0,,stressors
3,Inhibition of the mitochondrial complex I of nigro-striatal neurons leads to parkinsonian motor deficits,WPHA/WNT Endorsed,BY-SA,1.0,94.12,16,17,7,8,6,overall_assessment_description,
6,Antagonist binding to PPARα leading to body-weight loss,WPHA/WNT Endorsed,BY-SA,1.0,94.12,16,17,8,8,3,"background, development_strategy, known_modulating_factors",
15,Alkylation of DNA in male pre-meiotic germ cells leading to heritable mutations,WPHA/WNT Endorsed,BY-SA,1.0,94.12,16,17,4,5,0,"development_strategy, known_modulating_factors",stressors
38,Protein Alkylation leading to Liver Fibrosis,WPHA/WNT Endorsed,BY-SA,1.0,94.12,16,17,7,7,5,"background, development_strategy",
42,Inhibition of Thyroperoxidase and Subsequent Adverse Neurodevelopmental Outcomes in Mammals,WPHA/WNT Endorsed,BY-SA,1.0,94.12,16,17,8,12,2,"potential_applications, development_strategy, known_modulating_factors",
113,Glutamate-gated chloride channel activation leading to acute mortality,,BY-SA,1.0,94.12,16,17,6,5,0,,stressors
144,Endocytic lysosomal uptake leading to liver fibrosis,Under Review,BY-SA,1.0,94.12,16,17,9,8,8,"potential_applications, development_strategy, known_modulating_factors",
148,EGFR Activation Leading to Decreased Lung Function,Under Development,BY-SA,1.0,94.12,16,17,4,4,1,overall_assessment_description,
149,Peptide Oxidation Leading to Hypertension,Under Development,BY-SA,1.0,94.12,16,17,10,11,1,"overall_assessment_description, development_strategy, known_modulating_factors",
150,"Aryl hydrocarbon receptor activation leading to early life stage mortality, via reduced VEGF",WPHA/WNT Endorsed,BY-SA,1.0,94.12,16,17,7,7,3,"overall_assessment_description, development_strategy, known_modulating_factors",
156,Deiodinase 2 inhibition leading to increased mortality via reduced anterior swim bladder inflation,WPHA/WNT Endorsed,BY-SA,1.0,94.12,16,17,6,5,0,"development_strategy, known_modulating_factors",stressors
157,Deiodinase 1 inhibition leading to increased mortality via reduced posterior swim bladder inflation ,WPHA/WNT Endorsed,BY-SA,1.0,94.12,16,17,6,7,0,"development_strategy, known_modulating_factors",stressors
158,Deiodinase 1 inhibition leading to increased mortality via reduced anterior swim bladder inflation,WPHA/WNT Endorsed,BY-SA,1.0,94.12,16,17,6,5,0,"development_strategy, known_modulating_factors",stressors
175,Thyroperoxidase inhibition leading to altered amphibian metamorphosis,,BY-SA,1.0,94.12,16,17,4,4,4,"background, development_strategy, known_modulating_factors",
212,Histone deacetylase inhibition leading to testicular atrophy,WPHA/WNT Endorsed,BY-SA,1.0,94.12,16,17,6,9,4,"background, development_strategy",
213,Inhibition of fatty acid beta oxidation leading to nonalcoholic steatohepatitis (NASH),,Open for adoption,1.0,94.12,16,17,6,5,0,"development_strategy, known_modulating_factors",stressors
218,Inhibition of CYP7B activity leads to decreased reproductive success via decreased locomotor activity,,BY-SA,1.0,94.12,16,17,6,7,1,"potential_applications, development_strategy, known_modulating_factors",
219,Inhibition of CYP7B activity leads to decreased reproductive success via decreased sexual behavior,,BY-SA,1.0,94.12,16,17,6,6,1,"potential_applications, development_strategy, known_modulating_factors",
256,Inhibition of mitochondrial DNA polymerase gamma leading to kidney toxicity,Under Development,BY-SA,1.0,94.12,16,17,5,4,5,"background, development_strategy, known_modulating_factors",
277,Impaired IL-1R1 signaling leading to Impaired T-Cell Dependent Antibody Response,WPHA/WNT Endorsed,BY-SA,2.0,94.12,16,17,4,3,16,"overall_assessment_description, development_strategy",
292,Inhibition of tyrosinase leads to decreased population in fish,Under Development,BY-SA,2.0,94.12,16,17,6,5,1,"overall_assessment_applicability, development_strategy, known_modulating_factors",
298,Increase in reactive oxygen species (ROS) leading to human treatment-resistant gastric cancer,Under Review,BY-SA,2.0,94.12,16,17,5,4,6,background,
315,Inhibition of JAK3 leading to impairment of T-Cell Dependent Antibody Response,Under Development,BY-SA,2.0,94.12,16,17,5,4,2,"potential_applications, development_strategy",
316,Trypsin inhibition leading to pancreatic acinar cell tumors,Under Development,BY-SA,2.0,94.12,16,17,6,5,0,"development_strategy, known_modulating_factors",stressors
323,PPARalpha Agonism Leading to Decreased Viable Offspring via Decreased 11-Ketotestosterone,,BY-SA,2.0,94.12,16,17,6,5,3,overall_assessment_description,
344,Androgen receptor (AR) antagonism leading to nipple retention (NR) in male (mammalian) offspring,Under Development,BY-SA,2.0,94.12,16,17,4,4,3,overall_assessment_description,
360,Chitin synthase 1 inhibition leading to mortality,WPHA/WNT Endorsed,BY-SA,2.0,94.12,16,17,4,3,6,"overall_assessment_description, development_strategy, known_modulating_factors",
363,Thyroperoxidase inhibition leading to altered visual function via altered retinal layer structure,Under Review,BY-SA,2.0,94.12,16,17,8,8,2,"overall_assessment_description, development_strategy",
368,Cytochrome oxidase inhibition leading to increased nasal lesions,,BY-SA,2.0,94.12,16,17,3,2,0,,stressors
398,Decreased ALDH1A (RALDH) activity leading to decreased fertility via disrupted meiotic initiation of fetal oogonia ,Under Development,BY-SA,2.0,94.12,16,17,6,5,0,,stressors
405,Organo-Phosphate Chemicals induced inhibition of AChE  leading to impaired cognitive function,,BY-SA,2.0,94.12,16,17,5,5,5,"background, development_strategy, known_modulating_factors",
436,"Inhibition of RALDH2 causes reduced all-trans retinoic acid levels, leading to transposition of the great arteries",,BY-SA,2.0,94.12,16,17,5,4,9,"potential_applications, development_strategy, known_modulating_factors",
450, Inhibition of AChE and activation of CYP2E1 leading to sensory axonal peripheral neuropathy and mortality,,BY-SA,2.0,94.12,16,17,7,6,4,"background, development_strategy",
457,Succinate dehydrogenase inhibition leading to increased insulin resistance through reduction in circulating thyroxine,,Open for adoption,2.0,94.12,16,17,6,5,2,potential_applications,
458,AhR activation in the liver leading to Subsequent Adverse Neurodevelopmental Outcomes in Mammals,,Open for adoption,2.0,94.12,16,17,8,8,3,overall_assessment_description,
459,AhR activation in the thyroid leading to Subsequent Adverse Neurodevelopmental Outcomes in Mammals,,Open for adoption,2.0,94.12,16,17,9,8,3,potential_applications,
237,Substance interaction with lung resident cell membrane components leading to atherosclerosis,Under Development,BY-SA,2.5,89.47,17,19,5,8,5,"overall_assessment_description, development_strategy",
474,Succinate dehydrogenase inactivation leads to cancer by promoting EMT,Under Development,BY-SA,2.7,89.47,17,19,5,4,3,"quantitative_considerations, potential_applications",
477,Androgen receptor (AR) antagonism leading to hypospadias in male (mammalian) offspring,,BY-SA,2.5,89.47,17,19,4,3,3,"overall_assessment_description, potential_applications",
492,Glutathione conjugation leading to reproductive dysfunction via oxidative stress,,All rights reserved,2.5,89.47,17,19,5,4,3,"quantitative_considerations, potential_applications",
505,Reactive Oxygen Species (ROS) formation leads to cancer via inflammation pathway,,BY-SA,2.6,89.47,17,19,5,4,2,"quantitative_considerations, potential_applications",
524,Gluten-driven immune activation leading to celiac disease in genetically predisposed individuals ,Under Review,All rights reserved,2.6,89.47,17,19,9,8,3,"woe_evidence, quantitative_considerations",
529,Xenobiotic binding to peroxisome proliferator-activated receptors (PPARs) causes dysregulation of lipid metabolism leading to liver steatosis,,BY-SA,2.6,89.47,17,19,8,9,4,"quantitative_considerations, development_strategy",
539,Decreased Sodium/Potassium ATPase activity leads to Heart failure,,BY-SA,2.7,89.47,17,19,7,6,1,"quantitative_considerations, potential_applications",
564,DBDPE-induced inhibition of mitochondrial complex Ⅰ leading to population decline via neurotoxicity and metabotoxicity.,,BY-SA,2.7,89.47,17,19,11,11,1,"quantitative_considerations, potential_applications",
568,"Inhibition, 5-hydroxytryptamine transporter (5-HTT; SERT) leads to Inhibition, Feeding",,BY-SA,2.7,89.47,17,19,4,4,1,"quantitative_considerations, potential_applications",
570,Decreased testosterone synthesis leading to hypospadias in male (mammalian) offspring,,BY-SA,2.7,89.47,17,19,5,6,2,"overall_assessment_description, potential_applications",
571,5α-reductase inhibition leading to hypospadias in male (mammalian) offspring,,BY-SA,2.7,89.47,17,19,5,4,1,"overall_assessment_description, potential_applications",
12,Chronic binding of antagonist to N-methyl-D-aspartate receptors (NMDARs) during brain development leads to neurodegeneration with impairment in learning and memory in aging,WPHA/WNT Endorsed,BY-SA,1.0,88.24,15,17,8,8,1,"background, development_strategy, known_modulating_factors",sex_applicability
13,Chronic binding of antagonist to N-methyl-D-aspartate receptors (NMDARs) during brain development induces impairment of learning and memory abilities,WPHA/WNT Endorsed,BY-SA,1.0,88.24,15,17,10,11,0,"background, development_strategy, known_modulating_factors",stressors
18,PPARα activation in utero leading to impaired fertility in males,Under Review,BY-SA,1.0,88.24,15,17,8,8,0,"background, development_strategy, known_modulating_factors",stressors
25,Aromatase inhibition leading to reproductive dysfunction,WPHA/WNT Endorsed,BY-SA,1.0,88.24,15,17,8,8,1,"background, overall_assessment_description, development_strategy",
40,Covalent Protein binding leading to Skin Sensitisation,WPHA/WNT Endorsed,BY-SA,1.0,88.24,15,17,5,5,0,"background, development_strategy, known_modulating_factors",stressors
54,Inhibition of Na+/I- symporter (NIS) leads to learning and memory impairment ,WPHA/WNT Endorsed,BY-SA,1.0,88.24,15,17,10,15,5,"background, woe_evidence, development_strategy, known_modulating_factors",
242,Inhibition of lysyl oxidase leading to enhanced chronic fish toxicity,,Open for adoption,1.0,88.24,15,17,8,7,12,"background, potential_applications, development_strategy, known_modulating_factors",
289,Inhibition of 5α-reductase leading to impaired fecundity in female fish,Under Development,BY-SA,2.0,88.24,15,17,6,5,1,"overall_assessment_description, quantitative_considerations, development_strategy, known_modulating_factors",
305,5α-reductase inhibition leading to short anogenital distance (AGD) in male (mammalian) offspring,Under Review,BY-SA,2.0,88.24,15,17,5,5,1,"overall_assessment_description, potential_applications",
306,Androgen receptor (AR) antagonism leading to short anogenital distance (AGD) in male (mammalian) offspring,Under Review,BY-SA,2.0,88.24,15,17,4,4,1,"overall_assessment_description, potential_applications",
307,Decreased testosterone synthesis leading to short anogenital distance (AGD) in male (mammalian) offspring,Under Review,BY-SA,2.0,88.24,15,17,5,7,2,"overall_assessment_description, potential_applications",
314,Binding to estrogen receptor (ER)-α in immune cells leading to exacerbation of systemic lupus erythematosus (SLE),Under Development,BY-SA,2.0,88.24,15,17,5,4,2,"overall_assessment_description, potential_applications, development_strategy, known_modulating_factors",
348,Inhibition of 11β-Hydroxysteroid Dehydrogenase leading to decreased population trajectory ,Under Development,BY-SA,2.0,88.24,15,17,5,4,4,"woe_evidence, quantitative_considerations, development_strategy",
387,Deposition of ionising energy leading to population decline via mitochondrial dysfunction,,BY-SA,2.0,88.24,15,17,8,7,3,"background, potential_applications, development_strategy, known_modulating_factors",
388,Deposition of ionising energy  leading to population decline via programmed cell death,,BY-SA,2.0,88.24,15,17,5,4,3,"background, potential_applications, development_strategy, known_modulating_factors",
389, Oxygen-evolving complex damage leading to population decline via inhibition of photosynthesis,,BY-SA,2.0,88.24,15,17,7,6,1,"background, potential_applications, development_strategy, known_modulating_factors",
399,Inhibition of Fyna leading to increased mortality via decreased eye size (Microphthalmos),,BY-SA,2.0,88.24,15,17,8,7,3,"potential_applications, development_strategy, known_modulating_factors",sex_applicability
410,GSK3beta inactivation leading to increased mortality via defects in developing inner ear,,BY-SA,2.0,88.24,15,17,10,9,1,"potential_applications, development_strategy, known_modulating_factors",sex_applicability
439,Activation of the AhR leading to metastatic breast cancer ,Under Review,BY-SA,2.0,88.24,15,17,9,13,1,"quantitative_considerations, potential_applications",
386,Deposition of ionizing energy leading to population decline via inhibition of photosynthesis,,BY-SA,2.7,84.21,16,19,8,8,3,"background, potential_applications, development_strategy",
494,AhR activation leading to liver fibrosis ,,BY-SA,2.5,84.21,16,19,6,5,1,"woe_evidence, quantitative_considerations, potential_applications",
504,SULT1E1 inhibition leading to uterine adenocarcinoma via increased estrogen availability at target organ level,,All rights reserved,2.6,84.21,16,19,3,2,7,"background, overall_assessment_description, potential_applications",
507,Nrf2 inhibition leading to vascular disrupting effects via inflammation pathway,,All rights reserved,2.6,84.21,16,19,6,6,0,"potential_applications, development_strategy",stressors
508,"Nrf2 inhibition leading to vascular disrupting effects through activating HIF1α, Semaphorin 6A, and Dll4-Notch pathway",,All rights reserved,2.6,84.21,16,19,7,6,0,"potential_applications, development_strategy",stressors
510,Demethylation of PPAR promotor leading to vascular disrupting effects,,All rights reserved,2.6,84.21,16,19,10,12,0,"potential_applications, development_strategy",stressors
511,The AOP framework on ROS-mediated oxidative stress induced vascular disrupting effects ,,All rights reserved,2.6,84.21,16,19,16,25,0,"potential_applications, development_strategy",stressors
513,Reactive Oxygen (ROS) formation leads to cancer via Peroxisome proliferation-activated receptor (PPAR) pathway,,BY-SA,2.6,84.21,16,19,5,4,0,"quantitative_considerations, potential_applications",stressors
517,Pregnane X Receptor (PXR) activation leads to liver steatosis,,BY-SA,2.6,84.21,16,19,5,4,0,"quantitative_considerations, potential_applications",stressors
