Event ID,Title,Retention Score,Completion %,AOP Count,Has Method,OECD Endorsed,In OECD Program,Only Open for Adoption
1392,Oxidative Stress ,70,63,91.67,Yes,Yes,Yes,No
360,"Decrease, Population growth rate",68,61,100.0,Yes,Yes,Yes,No
1115,"Increase, Reactive oxygen species",64,58,100.0,Yes,No,Yes,No
177,Mitochondrial dysfunction,44,37,100.0,Yes,Yes,Yes,No
351,Increased Mortality,35,28,90.91,Yes,Yes,Yes,No
281," Thyroxine (T4) in serum, Decreased",33,26,100.0,Yes,Yes,Yes,No
1521,"Decrease, Growth",32,25,100.0,Yes,Yes,Yes,No
55,"Increase, Cell injury/death",29,22,100.0,Yes,Yes,Yes,No
341,"Impairment, Learning and memory",29,22,100.0,Yes,Yes,Yes,No
18,"Activation, AhR",29,22,91.67,Yes,Yes,Yes,No
277,"Thyroid hormone synthesis, Decreased",28,21,100.0,Yes,Yes,Yes,No
1771,"Decrease, Adenosine triphosphate pool",28,21,100.0,Yes,Yes,Yes,No
1262,Apoptosis,26,19,100.0,Yes,Yes,Yes,No
78,"Reduction, Cumulative fecundity and spawning",24,17,100.0,Yes,Yes,Yes,No
1686,Deposition of Energy,24,17,91.67,Yes,Yes,Yes,No
1446,"Decrease, Coupling of oxidative phosphorylation",24,17,100.0,Yes,Yes,Yes,No
350,"Increase, Mortality",23,16,100.0,Yes,Yes,Yes,No
563,"Death/Failure, Colony",23,21,54.55,No,No,No,No
402,"Cognitive function, decreased ",22,15,100.0,Yes,Yes,Yes,No
1821,"Decrease, Cell proliferation",22,15,100.0,Yes,Yes,Yes,No
1739,Binding to ACE2,21,15,100.0,Yes,No,Yes,No
286,"Altered, Transcription of genes by the androgen receptor",20,14,91.67,Yes,No,Yes,No
386,Decrease of neuronal network function,19,12,100.0,Yes,Yes,Yes,No
459,"Increased, Liver Steatosis",19,15,100.0,Yes,No,No,No
1614,"Decrease, androgen receptor activation",19,13,91.67,Yes,No,Yes,No
219,"Reduction, Plasma 17beta-estradiol concentrations",18,11,100.0,Yes,Yes,Yes,No
406,"decreased, Fertility",18,12,100.0,Yes,No,Yes,No
155,Inadequate DNA repair,18,11,91.67,Yes,Yes,Yes,No
1690,"Decrease, circulating testosterone levels ",18,12,100.0,Yes,No,Yes,No
221,"Reduction, Plasma vitellogenin concentrations",18,11,90.91,Yes,Yes,Yes,No
1496,"Increased, secretion of proinflammatory mediators",18,11,100.0,Yes,Yes,Yes,No
1825,"Increase, Cell death",18,11,100.0,Yes,Yes,Yes,No
185,"Increase, Mutations",17,10,91.67,Yes,Yes,Yes,No
279,"Thyroperoxidase, Inhibition",17,10,100.0,Yes,Yes,Yes,No
